2021-02-07 13:17:45,574 DEBUG - (jerry.lam) - Successfully loaded and updated table
2021-02-07 13:24:33,904 DEBUG - (jerry.lam) - Successfully loaded and updated table
2021-02-07 15:45:24,651 DEBUG - (nikko.aratan) - Successfully loaded and updated table
2021-02-07 15:45:29,102 DEBUG - (nikko.aratan) - Successfully loaded and updated table
2021-02-07 15:47:25,117 DEBUG - (nikko.aratan) - Successfully loaded and updated table
2021-02-07 15:47:31,308 DEBUG - (nikko.aratan) - Successfully loaded and updated table
2021-02-07 16:05:56,808 DEBUG - (nikko.aratan) - Successfully loaded and updated table
2021-02-07 16:05:58,093 DEBUG - (nikko.aratan) - Successfully loaded and updated table
2021-02-07 19:32:06,432 DEBUG - starting thread (client mode): 0xb82e4290L
2021-02-07 19:32:06,432 DEBUG - Local version/idstring: SSH-2.0-paramiko_2.6.0
2021-02-07 19:32:06,448 DEBUG - Remote version/idstring: SSH-2.0-OpenSSH_7.4
2021-02-07 19:32:06,448 INFO - Connected (version 2.0, client OpenSSH_7.4)
2021-02-07 19:32:06,452 DEBUG - kex algos:[u'curve25519-sha256', u'curve25519-sha256@libssh.org', u'ecdh-sha2-nistp256', u'ecdh-sha2-nistp384', u'ecdh-sha2-nistp521', u'diffie-hellman-group-exchange-sha256', u'diffie-hellman-group16-sha512', u'diffie-hellman-group18-sha512', u'diffie-hellman-group-exchange-sha1', u'diffie-hellman-group14-sha256', u'diffie-hellman-group14-sha1', u'diffie-hellman-group1-sha1'] server key:[u'ssh-rsa', u'rsa-sha2-512', u'rsa-sha2-256', u'ecdsa-sha2-nistp256', u'ssh-ed25519'] client encrypt:[u'chacha20-poly1305@openssh.com', u'aes128-ctr', u'aes192-ctr', u'aes256-ctr', u'aes128-gcm@openssh.com', u'aes256-gcm@openssh.com', u'aes128-cbc', u'aes192-cbc', u'aes256-cbc', u'blowfish-cbc', u'cast128-cbc', u'3des-cbc'] server encrypt:[u'chacha20-poly1305@openssh.com', u'aes128-ctr', u'aes192-ctr', u'aes256-ctr', u'aes128-gcm@openssh.com', u'aes256-gcm@openssh.com', u'aes128-cbc', u'aes192-cbc', u'aes256-cbc', u'blowfish-cbc', u'cast128-cbc', u'3des-cbc'] client mac:[u'umac-64-etm@openssh.com', u'umac-128-etm@openssh.com', u'hmac-sha2-256-etm@openssh.com', u'hmac-sha2-512-etm@openssh.com', u'hmac-sha1-etm@openssh.com', u'umac-64@openssh.com', u'umac-128@openssh.com', u'hmac-sha2-256', u'hmac-sha2-512', u'hmac-sha1'] server mac:[u'umac-64-etm@openssh.com', u'umac-128-etm@openssh.com', u'hmac-sha2-256-etm@openssh.com', u'hmac-sha2-512-etm@openssh.com', u'hmac-sha1-etm@openssh.com', u'umac-64@openssh.com', u'umac-128@openssh.com', u'hmac-sha2-256', u'hmac-sha2-512', u'hmac-sha1'] client compress:[u'none', u'zlib@openssh.com'] server compress:[u'none', u'zlib@openssh.com'] client lang:[u''] server lang:[u''] kex follows?False
2021-02-07 19:32:06,452 DEBUG - Kex agreed: curve25519-sha256@libssh.org
2021-02-07 19:32:06,452 DEBUG - HostKey agreed: ssh-ed25519
2021-02-07 19:32:06,452 DEBUG - Cipher agreed: aes128-ctr
2021-02-07 19:32:06,452 DEBUG - MAC agreed: hmac-sha2-256
2021-02-07 19:32:06,452 DEBUG - Compression agreed: none
2021-02-07 19:32:06,504 DEBUG - kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
