2021-04-01 10:18:06,561 DEBUG - (landon) - Successfully loaded and updated table
2021-04-02 10:51:12,001 DEBUG - starting thread (client mode): 0xc6b9e210L
2021-04-02 10:51:12,002 DEBUG - Local version/idstring: SSH-2.0-paramiko_2.6.0
2021-04-02 10:51:12,040 DEBUG - Remote version/idstring: SSH-2.0-OpenSSH_6.6.1
2021-04-02 10:51:12,041 INFO - Connected (version 2.0, client OpenSSH_6.6.1)
2021-04-02 10:51:12,042 DEBUG - kex algos:[u'curve25519-sha256@libssh.org', u'ecdh-sha2-nistp256', u'ecdh-sha2-nistp384', u'ecdh-sha2-nistp521', u'diffie-hellman-group-exchange-sha256', u'diffie-hellman-group-exchange-sha1', u'diffie-hellman-group14-sha1', u'diffie-hellman-group1-sha1'] server key:[u'ssh-rsa', u'ecdsa-sha2-nistp256', u'ssh-ed25519'] client encrypt:[u'aes128-ctr', u'aes192-ctr', u'aes256-ctr', u'arcfour256', u'arcfour128', u'aes128-gcm@openssh.com', u'aes256-gcm@openssh.com', u'chacha20-poly1305@openssh.com', u'aes128-cbc', u'3des-cbc', u'blowfish-cbc', u'cast128-cbc', u'aes192-cbc', u'aes256-cbc', u'arcfour', u'rijndael-cbc@lysator.liu.se'] server encrypt:[u'aes128-ctr', u'aes192-ctr', u'aes256-ctr', u'arcfour256', u'arcfour128', u'aes128-gcm@openssh.com', u'aes256-gcm@openssh.com', u'chacha20-poly1305@openssh.com', u'aes128-cbc', u'3des-cbc', u'blowfish-cbc', u'cast128-cbc', u'aes192-cbc', u'aes256-cbc', u'arcfour', u'rijndael-cbc@lysator.liu.se'] client mac:[u'hmac-md5-etm@openssh.com', u'hmac-sha1-etm@openssh.com', u'umac-64-etm@openssh.com', u'umac-128-etm@openssh.com', u'hmac-sha2-256-etm@openssh.com', u'hmac-sha2-512-etm@openssh.com', u'hmac-ripemd160-etm@openssh.com', u'hmac-sha1-96-etm@openssh.com', u'hmac-md5-96-etm@openssh.com', u'hmac-md5', u'hmac-sha1', u'umac-64@openssh.com', u'umac-128@openssh.com', u'hmac-sha2-256', u'hmac-sha2-512', u'hmac-ripemd160', u'hmac-ripemd160@openssh.com', u'hmac-sha1-96', u'hmac-md5-96'] server mac:[u'hmac-md5-etm@openssh.com', u'hmac-sha1-etm@openssh.com', u'umac-64-etm@openssh.com', u'umac-128-etm@openssh.com', u'hmac-sha2-256-etm@openssh.com', u'hmac-sha2-512-etm@openssh.com', u'hmac-ripemd160-etm@openssh.com', u'hmac-sha1-96-etm@openssh.com', u'hmac-md5-96-etm@openssh.com', u'hmac-md5', u'hmac-sha1', u'umac-64@openssh.com', u'umac-128@openssh.com', u'hmac-sha2-256', u'hmac-sha2-512', u'hmac-ripemd160', u'hmac-ripemd160@openssh.com', u'hmac-sha1-96', u'hmac-md5-96'] client compress:[u'none', u'zlib@openssh.com'] server compress:[u'none', u'zlib@openssh.com'] client lang:[u''] server lang:[u''] kex follows?False
2021-04-02 10:51:12,042 DEBUG - Kex agreed: curve25519-sha256@libssh.org
2021-04-02 10:51:12,042 DEBUG - HostKey agreed: ssh-ed25519
2021-04-02 10:51:12,042 DEBUG - Cipher agreed: aes128-ctr
2021-04-02 10:51:12,043 DEBUG - MAC agreed: hmac-sha2-256
2021-04-02 10:51:12,043 DEBUG - Compression agreed: none
2021-04-02 10:51:12,114 DEBUG - kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
2021-04-02 10:51:12,115 DEBUG - Switch to new keys ...
2021-04-02 10:51:12,135 DEBUG - Adding ssh-ed25519 host key for [46.8.198.10]:28032: 649bfb2ade50b259183468bcc4a641be
2021-04-02 10:51:12,137 DEBUG - Trying discovered key f1e2a20412f7e99b7abdb041b22f15e1 in /root/.ssh/id_rsa
2021-04-02 10:51:12,181 DEBUG - userauth is OK
2021-04-02 10:51:17,290 INFO - Authentication (publickey) successful!
2021-04-02 10:51:17,316 DEBUG - [chan 0] Max packet in: 32768 bytes
2021-04-02 10:51:17,342 DEBUG - Debug msg: Adding to environment: NAME=argus
2021-04-02 10:51:17,392 DEBUG - [chan 0] Max packet out: 32768 bytes
2021-04-02 10:51:17,392 DEBUG - Secsh channel 0 opened.
2021-04-02 10:51:17,431 DEBUG - [chan 0] Sesch channel 0 request ok
2021-04-02 10:51:17,443 DEBUG - [chan 0] Sesch channel 0 request ok
2021-04-02 10:51:17,444 DEBUG - [chan 1] Max packet in: 32768 bytes
2021-04-02 10:51:17,456 DEBUG - [chan 1] Max packet out: 32768 bytes
2021-04-02 10:51:17,456 DEBUG - Secsh channel 1 opened.
2021-04-02 10:51:17,483 DEBUG - [chan 1] Sesch channel 1 request ok
